tweet_id,favourit_count,retweet_count
892420643555336193,37419,8124
892177421306343426,32149,6017
891815181378084864,24236,3983
891689557279858688,40722,8288
891327558926688256,38952,8976
891087950875897856,19566,2981
890971913173991426,11429,1976
890729181411237888,63073,18072
890609185150312448,26920,4088
890240255349198849,30857,7056
890006608113172480,29673,7015
889880896479866881,26917,4771
889665388333682689,46490,9600
889638837579907072,26190,4337
889531135344209921,14621,2160
889278841981685760,24412,5152
888917238123831296,28152,4322
888804989199671297,24723,4095
888554962724278272,19161,3381
888078434458587136,21034,3334
887705289381826560,29194,5155
887517139158093824,44792,11214
887473957103951883,66604,17377
887343217045368832,32552,9986
887101392804085760,29565,5709
886983233522544640,33937,7412
886736880519319552,11621,3124
886680336477933568,21693,4276
886366144734445568,20468,3061
886267009285017600,116,4
886258384151887873,27045,6043
886054160059072513,0,105
885984800019947520,31529,6492
885528943205470208,34790,6154
885518971528720385,19772,3586
885311592912609280,0,17758
885167619883638784,21196,4196
884925521741709313,74784,17462
884876753390489601,26976,5379
884562892145688576,23499,4495
884441805382717440,26137,5441
884247878851493888,70500,19676
884162670584377345,19697,2861
883838122936631299,21152,3299
883482846933004288,44406,9497
883360690899218434,21945,3557
883117836046086144,35924,6382
882992080364220416,23143,3762
882762694511734784,27354,4702
882627270321602560,27019,5838
882268110199369728,43424,11125
882045870035918850,28357,4738
881906580714921986,23513,3267
881666595344535552,48966,10249
881633300179243008,123,7
881536004380872706,47808,15322
881268444196462592,22409,4997
880935762899988482,16487,2675
880872448815771648,20584,3673
880465832366813184,27580,6011
880221127280381952,26129,4050
880095782870896641,26733,4164
879862464715927552,21612,3354
879674319642796034,301,10
879492040517615616,22700,3059
879415818425184262,102440,42576
879376492567855104,16269,2989
879130579576475649,0,6538
879050749262655488,21806,4518
879008229531029506,18361,2588
878776093423087618,18779,3968
878604707211726852,29234,6915
878404777348136964,0,1238
878316110768087041,0,6395
878281511006478336,7485,1238
878057613040115712,40731,6538
877736472329191424,77105,18340
877611172832227328,0,77
877556246731214848,21998,3661
877316821321428993,26531,4998
877201837425926144,26269,5382
876838120628539392,20049,3211
876537666061221889,22830,4474
876484053909872640,18188,2303
876120275196170240,27069,4497
875747767867523072,24401,4138
875144289856114688,21263,4751
875097192612077568,26576,5845
